date, pnl, longsize, shortsize, ret, holdpnl, tradepnl, poscov, negcov, pospnl, negpnl, IC, index_ret,rankpnl1, rankpnl2, rankpnl3, rankpnl4, rankpnl5, rankpnl6, rankpnl7, rankpnl8, rankpnl9, rankpnl10
20210324,66966.04,10000000.0,-10000000.0,0.003348,16934.50178911472,50302.53844648944,1008,3051,10148.87,62745.88,0.003935,3367.0606,-5.926966,-6.203269,-3.386089,-3.946917,-3.261277,-3.447385,-1.823556,-1.21315,-1.782657,-2.516679
20210325,24955.24,10000000.0,-10000000.0,0.001248,-49256.031857213165,74488.96127326682,1008,3052,10243.59,18251.36,-0.017572,3363.5915,0.508814,-1.503602,-1.552133,-1.14563,-1.019163,-1.346023,-1.697588,-0.839909,-2.874916,-1.706946
20210326,-126786.82,10000000.0,-10000000.0,-0.006339,-57310.54692532265,-69214.82657897995,1015,3049,-21172.68,-92910.43,-0.018914,3418.3267,6.24128,6.083184,6.070082,6.285392,6.16014,4.488716,5.051888,4.126055,3.816105,3.804422
20210329,-32890.76,10000000.0,-10000000.0,-0.001645,-26584.340052182226,-6049.3864252058775,1008,3062,1963.03,-12813.82,-0.004006,3435.2958,2.510951,-0.143259,0.849798,0.970603,1.048046,1.132599,-0.660682,0.308684,-0.288368,-0.876715
20210330,56301.48,10000000.0,-10000000.0,0.002815,-101548.81466335838,158078.97285625624,1002,3071,27135.86,41411.96,-0.019623,3456.6766,-0.308211,-2.265493,-2.402679,-1.557363,-2.072887,-3.217791,-4.496792,-4.874082,-5.391171,-4.911318
20210331,-26965.54,10000000.0,-10000000.0,-0.001348,49779.983859758206,-76504.28906729087,999,3075,-13597.84,-10926.85,0.01998,3441.9115,-0.035618,0.689245,1.338942,0.015943,1.427796,0.768393,0.958789,0.562136,3.104698,2.290846
20210401,-32325.06,10000000.0,-10000000.0,-0.001616,-25812.490285925567,-6283.977566415444,995,3076,-1872.79,-22530.34,-0.008868,3466.3315,2.515952,1.161347,0.785066,1.65756,1.54165,1.566344,0.100889,0.934401,-0.308165,1.116244
20210402,-47203.24,10000000.0,-10000000.0,-0.00236,-28932.532904288266,-18019.412147699033,992,3085,-7203.49,-29981.16,-0.01332,3484.3924,0.041664,0.982257,2.101622,1.84334,2.258236,2.888593,2.37106,1.520183,2.005174,0.90235
20210406,-103042.78,10000000.0,-10000000.0,-0.005152,28127.667785662594,-130926.53221701247,986,3091,-25244.75,-68224.93,0.010951,3482.9674,3.141115,5.109841,4.073102,3.86886,4.215229,3.850213,3.884496,4.47296,4.833286,5.245793
20210407,-68689.61,10000000.0,-10000000.0,-0.003434,17036.437867107667,-85512.46789364344,991,3093,-21532.63,-40974.98,0.010189,3479.6256,3.70211,2.211115,3.240503,1.760152,1.322833,2.160682,2.603769,4.100039,4.116236,3.311551
